	cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12	cell13	cell14	cell15	cell16	cell17	cell18	cell19	cell20	cell21	cell22	cell23	cell24	cell25	cell26	cell27	cell28	cell29	cell30	cell31	cell32	cell33	cell34	cell35	cell36	cell37	cell38	cell39	cell40	cell41	cell42	cell43	cell44	cell45	cell46	cell47	cell48	cell49	cell50	cell51	cell52	cell53	cell54	cell55	cell56	cell57	cell58	cell59	cell60	cell61	cell62	cell63	cell64	cell65	cell66	cell67	cell68	cell69	cell70	cell71	cell72	cell73	cell74	cell75	cell76	cell77	cell78	cell79	cell80	cell81	cell82	cell83	cell84	cell85	cell86	cell87	cell88	cell89	cell90	cell91	cell92	cell93	cell94	cell95	cell96
gene462	0	5.6	1.76	34.57	2.91	177.35	7.92	5.32	1.25	148.36	43.81	11.75	17.03	62.2	67.35	52.72	4.83	14.69	5.15	32.11	60.08	0	20.19	5.26	72.94	49.73	72.44	30.33	108.72	0	59.8	283.58	45.95	61.39	1.59	230.49	73.36	76.06	90.14	78.86	68.33	10.65	73.24	17.63	0	151.11	114.03	0	27.58	27.75	5.38	104.82	42.77	19.17	15.6	73.12	2.65	3.02	95.06	47.28	34.31	1.58	85.58	22.62	13.83	49.17	3.93	14.84	39.32	97.31	58.94	1.32	32.2	0	180.6	13.16	30.26	13.23	6.63	25.21	92.08	285.9	209.3	0	45.93	19.44	36.08	95.23	86.27	0	0	0.54	8.94	23.94	0	97.59
gene463	487.8	287.75	421.25	376	290.78	319.23	261.21	63.8	487.94	347.23	131.44	49.92	211.08	226.4	320.23	320.47	160.74	345.13	432.32	175.79	0	119.07	69.01	144.54	417.05	361.15	73.75	252.38	585.84	757.12	482.3	364.74	63.65	226.94	264.42	525.7	376.45	952.51	501.32	1286.92	113.88	419.19	334.92	73.12	598.28	38.74	809.38	76.7	241.41	223.85	577.66	874.74	4.44	13.42	81.89	334.56	418.07	142.07	801.25	124.9	529.49	225.83	394.33	234.3	487.45	521.6	63.88	362.57	899.23	1080.77	636.09	277.89	100.33	0	21.94	1042.43	530.05	779.78	102.8	680.59	447.77	1143.69	171.66	542.04	658.88	19.44	485.53	798.03	156.85	435.92	366.28	395.02	528.87	687.53	138	812.53
gene464	205.26	66.8	8.81	45.37	22.96	13.45	290.23	10.63	190.67	0	5.48	5.87	22.71	12.04	27.96	41.19	0	14.69	0	30.21	17.52	3.97	14.47	107.75	78.55	70.22	25.02	309.72	0	54.84	0	32.46	12.32	78.13	0	0	16.64	0	1.59	0	0	55.57	10.91	59.03	6.54	89.53	300.62	9.39	34.47	12.95	7.18	4.46	1.11	0	11.7	2.22	9.29	63.52	79.39	0.93	5.15	14.21	10.07	0	3.46	10.69	19.66	97.53	0	4.31	2.03	18.55	1.14	0	129.22	49.71	1.46	25.99	38.13	4.45	7.2	0	3.49	169.88	0	0	31.57	260.29	78.53	0.7	1.58	4.89	219.03	89.79	0	17.04
gene465	231.83	0	142.77	82.1	61.19	0	17.94	217.96	81.51	563.65	60.24	14.68	0	181.92	203.32	520.64	320.26	119.33	188.71	302.15	230.3	117.08	73.47	78.84	24.31	223.74	1.32	336.1	288.94	51.71	388.22	42.01	444.76	288.33	4.78	60.58	89.43	200.35	0	704.9	456.52	117.18	28.23	72.24	0.47	446.53	335.17	1.57	113.76	223.85	80.8	263.17	0	0	666.8	0	167.23	447.36	192.23	396.13	226.42	104.23	1.68	473.44	174.58	12.83	80.59	0	1035.99	0	6.1	93.16	62.71	38.92	102.4	83.35	169.35	316.45	89.53	65.83	34.3	480.87	915.51	147.52	39.74	0	339.95	53.18	412.75	0	0	0	0	173.62	392.21	0
gene466	363.65	537.99	347.22	633.07	278.03	547.96	873.37	1190.94	815.37	468.52	717.45	380.25	336.39	672.16	992.45	790.11	923.32	947.41	1019.03	178.54	495.64	325.46	489.77	383.66	822.88	1169.83	1226.21	664.91	501.28	557.83	861.55	393.38	509.17	3.72	1110.26	1223.3	143.51	380.58	466.27	330.28	585.28	817.83	373.07	657.23	351.67	278.03	732.54	2604.37	523.97	691.91	435.99	820.75	291.03	553.9	1464.25	183.9	118.45	659.14	131.63	1163.44	946.84	339.53	677.44	153.5	1149.73	316.4	744.73	161.14	416.55	880.09	268.26	245.76	389.93	25.95	485.1	847.02	290.58	635.88	676.7	34.1	1118.68	638.99	349.06	98.62	271.92	272.21	433.96	794.87	627.4	2454.34	601.52	638.76	836.69	564.69	326.85	482
gene467	171.96	181.07	425.63	245.26	68.46	554.01	141.66	86.69	265.22	319.07	164.11	304.18	227.24	184.04	102.92	381.78	265.88	121.16	235.92	178.57	140.16	192	241.59	158.63	123.79	118.7	198.37	267.07	87.22	85.23	167.15	225.15	64.88	247.65	170.28	284.82	310.93	78.38	146.53	257.15	74.67	79.26	259.91	89.93	117.41	191.27	55.15	101.12	150.95	96.28	216.17	158.31	32.86	104.24	95.11	129.5	206.43	94.4	163.23	29.93	108.15	127.52	93.87	231.24	105.42	369.57	150.21	114.24	480.61	137.72	61.07	207.26	123.71	6.75	74.53	266.64	124.34	44.66	66.74	265.96	147.71	348.98	80.75	229.19	251.84	62.61	142.34	38.44	153.4	193.65	565.11	564.56	73.55	219.11	152.89	470.61
gene468	178.22	542.55	526.63	471.02	222.19	1109.41	242.74	399.05	262.3	779	651.21	207.26	568.15	457.26	669.79	66.78	720.46	114.06	253.99	280.89	513.01	352.33	299.95	558.63	182.7	618.73	194.61	479.14	562.47	57.98	220.21	111.26	3.04	585.03	270.01	1085.16	284.04	628.72	313.03	310.8	529.72	629.45	1043.62	438.52	184.56	95.55	407.09	59.48	390.86	288.44	48.89	328.68	314.25	444.77	494.47	182.48	565.92	436.62	427.99	320.25	734.9	176.9	283.93	460.27	601.24	422.84	359.69	213.39	1104.83	41.86	202.6	288.02	1018.78	25.95	268.55	103.26	284.47	279.43	356.41	148.23	270.48	437.27	425.9	391.93	953.62	38.89	320.89	392.13	138.76	664.03	222.61	622.89	4.47	614.89	557.82	516.61
gene469	119.39	260.89	126.23	77.35	93.69	385.15	240	90.41	366.04	34.79	151.73	158.99	72.96	155.56	406.84	333.54	100.32	78.55	256.41	141.98	54.04	96.92	84.75	71.56	33.89	57.73	86.45	264.53	209.61	32.67	81.41	128.91	163.55	135.89	81.62	80.22	103.14	76.58	109.06	109.36	314.77	78.97	300.47	444.09	55.66	222.29	142.97	87.05	106.98	116.14	440.82	203.63	258.81	277.95	139.66	585.19	452.79	450.27	94.24	208.24	117.94	53.84	140.88	299.98	353.52	123.24	234.39	225.03	137.08	151.84	71.76	468.66	74.53	245.2	163.25	79.04	146.68	129.35	115.56	207.79	123.3	187.71	246.73	59.78	52.06	320.43	227.28	48.35	94	473.13	921.1	107.92	58.39	155.56	37.62	452.61
gene470	286.16	590.28	476.92	358.67	261.45	1186.42	340.37	394.77	559.47	949.69	516.18	502.82	415.17	401.34	517.83	354.15	518.46	266.19	403.15	293.91	485.75	216.31	574.92	332.44	457.26	514.51	276.57	279.07	351.08	460.05	565.81	720.42	406.86	317.09	522.46	406.29	474.2	797.18	689.81	533.48	443.01	306.23	669.84	598.64	557.39	434.81	455.67	901.66	379.27	321.91	372.25	410.37	447.36	578.81	380.19	543.69	436.65	398.32	536.95	544.71	349.92	411.38	387.63	492.02	623.18	421.21	680.61	357.36	818.71	517.58	410.81	653.87	417.86	1894.17	584.71	354.54	384.96	703.73	431.91	490.66	441.48	517.69	834.09	626.98	419.38	359.71	466.85	584.7	332	778.45	110.52	920.06	548.04	478.67	719.06	720.82
gene471	267.62	224.49	369.48	231.19	154.34	81.04	128.89	423.13	241.3	16.67	8.65	152.98	190.18	262.03	413.19	231.5	72.98	156.34	3.52	220.65	253.98	126.97	44.96	612.43	168.32	405.55	61.2	757.73	390.79	187.09	191.58	29.37	61.7	101.7	9.43	63.31	74.62	12.96	14.37	367.86	34.39	68.89	39.89	90.17	8.82	30.09	223.49	1135.02	363.26	45.71	22.84	140.69	97.01	510.83	403.12	172.69	292.65	60.68	18	250.18	600.46	205.11	191.79	255.54	229.95	26.02	0	302.48	505.39	92.94	31.05	9.29	5.7	26.08	190.33	135.57	74.51	299.17	42.88	337.8	368.36	383.4	63.76	53.64	4.35	88.27	442.69	249.72	67.99	432.39	535.68	4.54	622.56	30.89	7.26	228.63
gene472	225.38	285.58	962.17	24.65	430.97	43.05	52.27	651.46	11.33	7.42	192.64	227.9	247.91	255.44	56.64	150.85	50.43	558.66	336.08	231.91	86.69	83.77	13.39	44.57	17.73	11.66	253.71	60.57	198.64	6.82	6.6	9.11	62.25	189.15	5.03	689.79	26.21	32.58	164.75	404.14	4.66	110.21	10.86	5.78	32.18	5.19	4.31	18.3	35.4	47.25	7.8	50.98	141.54	41.63	42.13	340.19	44.66	68.4	4.62	29.57	40.33	24.34	259.1	34.34	317.28	25.99	286.18	64.48	2.64	234.93	345.75	10.49	5.6	3.89	25.4	51.71	72.53	42.04	56.04	92.95	5.02	12.87	43.57	11.35	626.02	19.44	315.87	245.26	98.47	2.99	23.9	8.07	40.73	48.75	226.25	15.85
gene473	620.62	416.21	102.23	178.6	232.11	412.25	527.7	61.14	466.64	450.3	262.88	240.78	141.94	381.23	238.95	555.24	462.87	637.03	229.88	368.07	365.47	561.61	479.1	478.24	366.56	475.66	267.35	196.56	180.08	629.91	221.1	741.86	823.3	563.64	393.38	1594.54	590.69	519.53	185.15	560.92	271.75	453.01	1320.58	527.74	739.97	534.58	1036.61	984.63	451.72	394.06	421.44	316.7	682.63	413.99	600.51	298.78	436.65	719.41	407.42	1088.97	101.2	369.57	298.68	591.55	668.95	168.81	421.6	122.98	229.71	436.6	1304.73	845.92	92.5	12.97	542.86	83.33	442.44	171.17	797.49	234.28	178.75	231.77	243.76	218.05	1405.79	38.89	46.6	1318.24	826.07	576.51	132.9	141.22	143.85	333.23	312.32	718.73
gene474	773.46	1031.19	630.85	660.25	568.81	930.8	373.72	547.62	849.92	1236.66	709.29	380.25	467.77	428.38	617.55	609.98	640.53	313.92	407.87	197.77	440.92	180.59	535.36	160.2	428.27	648.36	241.01	241.78	357.08	371.36	367.34	678.85	324.9	472.49	100.35	109.43	139.35	539.41	604.76	1070.13	546.67	181.12	540.91	288.84	312.92	94.69	485.48	112.71	120.65	88.8	283.45	113.74	162.83	141.83	349	172.82	188.13	320.38	98.2	63.38	226.42	284.26	184.58	40.4	24.2	81.23	301.71	260.8	109.79	415.1	136.16	691.89	118.47	0	281.18	137.43	115.35	271.34	154.2	268.5	501.93	129.96	457.09	776.7	403.7	0	329.2	476.36	227.43	412.89	260.5	543.68	469.3	574.67	733.59	336.97
gene475	935.52	1162.66	955.29	541.18	810.56	1111.95	835.72	793.97	1198.42	1036.17	867.19	686.87	941.93	624.56	779.71	859.16	1057.12	466.94	539.8	537.38	665.01	428.03	833.62	527.38	663.13	667.58	623.57	465.9	781.05	625.56	853.58	979.23	796.32	691.1	527.59	680.67	646.64	803.04	726.45	1071.7	699.25	612.72	1282.75	1133.34	763.35	556.5	902.5	884.74	551.62	489.04	797.24	933.29	697.2	515.37	479.74	693.34	949.08	586.7	726.63	999.13	521.38	790.99	824.18	658.03	771.63	720.94	1452.35	463.8	1009.83	726.78	850.43	1340.21	665.34	2329.7	703.95	518.01	728.81	1235.9	686.62	616.43	808.78	817.09	1101.27	731.27	854.48	506.7	673.98	913.71	518.91	845.99	576.18	1363.37	1288.63	667.17	858.81	927.01
gene476	1768.31	1619.9	1811.27	1480.03	1270.28	1970.03	1630.59	1262.74	1830.18	1507.73	1771.73	1689.92	1659.26	1613.18	1350.57	1465.82	2337.3	1294.69	1761.57	1258.52	1857.37	708.46	2394.57	1190.58	1715.37	1861.97	1465.82	1364.45	1579.29	1548.27	2464.67	2361.75	1823.16	1287.41	2118.77	2077.16	1536.97	3396.09	1453.82	2188.18	2724.81	1437.98	2765.93	2035.66	2094.51	2004.48	2497.85	5496.55	1379.3	1428.22	1938.9	1882.92	1109.29	1870.28	1371.07	1453.37	1705.35	2317.32	2072.07	1942.95	1441.54	1339.33	1465.53	1515.62	2065.45	1199.25	2749.69	1527.73	2735.44	2106.53	1609.76	1935.3	2304.23	1842.27	1538.25	954.71	1305.98	2223.2	1708.34	1207.7	2008.27	1724.96	2735.01	2159.01	2169.09	427.76	1481.46	2240.17	1205.02	2677.82	2233.66	2965.28	1859.18	1532.19	2847.99	2335.09
gene477	17.51	8.56	36.38	20.18	20.35	12.94	11.29	32.72	14.39	13.94	24.45	78.25	6.91	37.39	15.63	20.63	5.83	10.83	22.23	38.43	33.97	20.6	11.72	20.16	9.22	10.22	24.86	34.42	31.92	40.22	15.53	12.74	29.09	14.75	6.99	18.96	9.42	9	29.2	3.64	24.72	21.68	19.63	7.47	15.06	8.86	15.92	13.18	20.44	14.1	27.34	21.97	18.13	0	19.91	5.14	7.87	15.82	28.41	10.88	13.14	38.34	22.92	22.25	8.73	29.22	16.17	26.12	2.84	17.72	14.77	2.74	7.74	0	6.9	30.04	14.59	7.75	13.35	30.95	26.54	25	3.62	13.01	10.52	98.58	29.93	5.61	16.16	6.11	13.47	5.06	20.05	17.96	7.99	11.62
gene478	224.58	90.03	253.81	136.12	10.36	358.26	802.1	821.43	333.69	513.71	580.53	89.62	181.68	544.75	264.31	197.55	186.12	231.31	199	227.98	440.57	148.84	240.41	99.68	91.64	73.46	30.29	103.13	340.13	194.31	386.7	276.3	238.16	46.51	299.47	11.72	305.86	230.14	386.73	0	546.67	407.07	160.21	147.13	251.35	292.68	19	131.49	105.14	731.63	166.84	33.34	14.48	70.91	116.98	113	79.04	113.34	112.82	418.5	235.08	77.13	276.4	72.71	27.9	239.85	579.04	196	5.06	124.36	477.06	268.29	248.62	38.92	244.6	438.6	132.23	338.6	472.44	182.38	14.44	266.67	516.94	13.91	165.2	0	193.91	124.28	501.92	11.14	39.52	363.37	70.13	129.7	297.79	145.03
gene479	425.02	542.1	690.91	360.83	440.43	332.92	329.81	297.74	591.28	563.65	432.66	276.01	769.3	519.67	451.96	487.68	501.54	286.39	281.47	277.23	563.23	140.9	549.95	315.36	695.71	705.09	175.16	335.14	344.04	822.75	574.47	394.34	375.72	304.18	315.4	951.47	293.26	859.47	587.26	675.41	446.02	317.71	363.6	558.54	608.71	1162.05	278.79	425.8	366	473.5	680.69	432.68	430.44	301.54	448.41	655.92	576	311.34	629.72	531.28	421.96	263.74	278.55	308.75	739.44	421.13	553.28	477.64	854.19	438.32	796.62	404.69	859.43	155.69	404.49	358.19	601.48	319.13	520.87	421.1	725.82	231.77	573.78	569.11	445.53	252.77	526.2	447	321.54	271.54	696.25	2547.91	557.36	389.1	573.8	396.69
gene480	188.34	56.52	255.57	287.37	454.23	194.48	430.08	284.34	235.83	335.34	284.79	61.66	194.46	465.5	249.06	263.61	208.3	121.16	366.15	252.7	473.11	89.3	156.95	155.05	177.67	517.94	135.65	146.81	510.68	419.94	409.13	223.43	332.6	476.21	106.72	99.66	301.57	716.9	165.51	593.77	150.33	132.88	539.39	543.58	552.52	191.97	263.47	129.93	213.9	672.67	186.57	356.85	170.67	542.4	118.93	330.13	62.71	349.13	374.11	407.31	233.28	415.55	281.9	248.84	392.38	230.87	207.6	294.7	350.45	187.73	670.68	117.25	84.37	25.95	302.31	176.9	499.37	182.58	208.91	376.62	34.3	344.41	229.8	352.73	73.21	0	186.4	406.95	86.27	394.78	126.3	542.05	768.45	299.31	472.11	601.43
gene481	2949.92	3154.54	2480.75	3761.72	2895.99	4598.47	3110.79	2972.04	3453.49	4078.79	1873.05	1507.78	2526.5	4374.32	3365.97	3777.86	3553.96	4073.89	3051.78	2417.69	3331.13	2962.84	3796.57	1708.19	4815.91	3193.93	2383.75	3106.16	4098.32	2864.14	6713.71	3524.24	2872.48	5290.42	3539.46	3535.05	3820.3	2785.01	3447.15	3062.98	3848.67	4191.07	4643.14	3593.8	3436.46	3232.21	7731.86	5778.25	2257.98	3526.12	3622.03	4242.02	2083.88	4235.19	3515.3	4096.71	2891.57	4365.38	5388.87	3367.69	3706.91	2097.92	3119.4	1839.33	1742.54	2097.82	3500.59	3519.72	3204.45	3856.94	3536.18	3814.23	4135.33	428.13	3560.29	3643.84	2904.68	4809.47	3652.34	2074.39	3771.5	3018.3	6870.63	4477.55	4375.18	155.55	4241.4	3601.87	1999.95	4752.28	3612.28	3744.92	3997.62	2779.34	2752.19	1505.71
gene482	140.06	205.54	285.53	140.44	249.97	106.03	419.52	162.16	107.88	801.48	386.11	60.19	638.64	226.73	386.34	387.18	309.39	181.75	449.8	263.69	105.14	390.94	212.56	123.52	555.56	126.84	177.8	254.8	99.45	390.27	34.82	179.51	154.37	418.77	68.5	383.01	291.18	58.66	213.26	409.14	185.63	259.45	17.55	702.16	117.23	584.51	338.63	201.87	175.81	253.32	37.67	502.42	22.77	424.43	397.74	323.48	534.2	335.52	80.44	57.79	413.39	394.68	276.87	271.46	276.57	513.05	442.24	57.25	23.75	160.17	432.88	229.2	480.08	77.84	404.01	194.43	471.64	173.08	130.98	278.14	171.52	322.75	5.24	435.5	14.64	1419.39	499.06	376.72	214.36	160.14	26.84	16.29	326.3	307.11	79.9	260.19
gene483	453.92	518.8	694.44	725.61	84.17	540.63	731.66	313.69	391.38	1101.14	221.78	372.84	296.74	285.55	338.02	721.66	564.33	574.61	458.14	93.39	458.09	334.33	712.38	170.82	951.92	498.56	411.72	205.72	788.19	771.82	1061.99	321.54	752.28	638.05	715.33	730.85	609.51	1071.07	310.34	292.25	349.15	124.43	165.59	87.22	1718.74	581.54	1624.02	769.62	313.69	253.45	457.46	167.27	610.13	462.15	25.35	538.4	322.84	71.03	502.48	412.9	140.65	412.17	211.43	289.27	537.58	254.39	914.14	464.33	819.39	226.24	512.14	0	570.07	259.48	392.52	181.29	871.72	392.42	298.44	292.1	631.93	825.28	1505.3	7.92	518.74	0	864.34	30.79	185.6	38.99	3.16	11.98	268.19	391.25	573.8	874.42
gene484	2.41	244.76	21.15	200.94	173.45	2.45	126.65	5.32	2.51	2.38	115.01	22.02	0	229.74	147.33	121.92	0	42.22	41.17	41.2	30.04	111.13	62.33	10.51	59.85	391.1	125.12	198.61	0	0	0	25.78	8.21	85.57	124.26	191.51	47.84	0	41.38	406.36	371.26	30.2	69.43	229.19	681.35	517.83	0.86	298.99	62.05	0	0	22.3	8.89	0	0	93.06	67.36	3.02	31.34	12.12	53.17	69.52	142.63	190.67	0	29.93	298.76	8.48	17.91	0	0	0	36.48	0	17.07	95.03	137.26	39.31	0	0	3.61	149.46	82.61	131.01	29.28	0	342.73	158.41	52.28	281.89	0	1.09	0.41	129.7	21.79	16.91
gene485	26.56	111.79	72.28	79.94	239.77	165.9	52.77	13.77	110.01	11.89	0	57.17	4.8	2.93	260.5	135.25	311.82	5.51	171.35	27.52	182.74	108.81	152.5	4.07	250.64	5.23	415.71	68.42	80.78	310.25	97.49	25.83	2.05	40.98	305.17	146.54	103.99	0	2.16	488.01	224.71	49.3	48.92	0	19.25	3.5	126.12	6.28	8.62	16.72	10.39	23.8	49.55	2.17	37.04	239.29	141.26	82.31	407.38	112.8	1.73	61.84	21.63	19.66	180.12	220.23	31.18	332.97	550.21	7.04	52.84	4.39	5.7	0	9.26	32.16	2.91	113.51	0	77.12	87.86	25.99	1.78	8.13	4.18	0	59.11	3.52	37.54	221.94	0.74	58.98	1.84	25.94	21.79	7.4
gene486	3023.41	3820.25	3524.17	3828.7	3155.35	4049.82	2350.9	2777.98	2599.19	2803.99	3590.03	1773.5	2241.84	2310.54	4257.27	2931.15	4933.13	2159.03	1940.18	2362.23	4403.06	2101.67	2741.11	2698.94	2184.54	2959.85	2926.03	1530.72	2763.76	1781.71	4221.95	3576.23	3275.59	4833.03	2549.61	4385.08	4303.65	4050.47	2406.32	5059.36	4714.86	3158.63	5997.01	3416.37	5857.25	2657.16	2925.6	3110.44	2969.22	2923.01	3037.83	3073.34	2728.29	5410.43	3043.67	3013.13	3560.54	4972.41	3782.08	4833.29	2908.27	2580.4	4526.7	3604.06	4207.31	2721.3	3651.53	3252.63	4300.91	4135.34	4762.16	4090.89	3910.09	1517.93	4200.83	2739.98	2488.16	5046.32	3185.85	3401.25	4086.98	2713.95	3904.88	5051.29	3697.66	19.44	2457.61	5057.56	4065	3719.5	1258.19	6157.65	4599.02	3242.22	3573.51	4602.44
gene487	132.67	133.6	17.63	317.62	147.94	31.34	47.49	18.61	106.63	11.89	30.12	82.22	2.84	47.15	80.81	105.45	26.59	71.6	20.59	35.71	12.52	9.92	150.27	120.89	22.44	17.62	42.14	13.35	130.36	12.54	147.98	78.29	18.48	132.07	0	29.31	27.04	2.49	213.26	0	25.05	6.04	25.94	66.96	33.63	58.54	319.62	0	49.98	25.9	12.59	33.45	66.65	1.92	7.8	66.47	234.58	167.76	7.31	31.69	30.88	25.27	6.71	25.85	50.13	32.07	38.33	19.08	29.17	109.37	48.77	11.92	57.01	0	0.82	7.31	1.46	13.31	1.66	4.45	9.03	64.98	205.94	23.79	106.61	0	57.12	103.23	159.46	113.49	374.06	21.2	372.71	19.95	21.79	6.4
gene488	149.72	283.9	203.71	73.46	214.26	139.2	163.59	388.12	528.11	218.8	0	31.71	36.9	35.2	10.17	89.93	226	5.47	96.02	170.41	530.69	158.76	94.61	212.92	0	0	21.07	153.97	0	137.89	0	261.77	246.39	124.63	78.05	41.04	8.32	5.47	14.36	744.99	472.39	0	10.68	57.26	0.47	146.34	4.3	9.39	155.05	71.6	5.38	6.69	66.4	103.5	157.93	31.02	123.1	533.51	10.45	76.43	221.27	20.53	52.64	172.88	88.16	284.31	52.09	148.42	15.57	40.04	26.58	858.09	0	13.23	201.07	152.47	65.99	19.65	4.66	0	347.31	73.65	228.66	14.38	223.81	388.87	1112.43	284.36	18.3	830.79	46.78	3.26	7.77	0	108.95	285.79
gene489	103.84	44.96	188.59	86.43	38.26	243.4	242.74	45.19	22.58	309.18	52.03	86.62	73.81	130.42	66.08	214.19	1.21	100.97	68.62	63.18	45.06	81.36	42.3	49.93	106.6	86.32	44.78	93.43	10.75	64.23	114.9	54.42	117.03	24.18	103.54	41.04	31.2	1.99	15.91	183.7	36.44	6.04	49.59	47.57	28.49	23.24	19.87	36	62.05	29.6	150.69	118.21	11.66	53.66	116.98	48.74	60.39	126.95	243.41	33.55	54.89	15.79	125.85	12.93	19.01	17.1	87.47	31.8	54.1	0	6.1	57.63	9.12	233.53	44.79	7.31	37.96	147.71	21.32	37.07	9.03	67.15	48.29	15.12	4.18	136.11	177.38	2.8	62.74	29.24	25.26	0.54	19.1	29.63	21.79	191.95
gene490	20.72	23.66	18.54	35.91	136.23	518.27	58.39	356.03	48.35	0	96.97	56.99	14.53	279.38	38.95	87.11	16.9	281.91	28.07	75.84	77.4	53.32	161.92	227.22	114.46	41	512.48	123.92	16.45	209.12	10.85	48.59	112.67	14.62	18.06	18.99	109.54	11.25	50.26	14.46	20.32	204.89	39.39	6.84	0.58	8.73	15.83	28.74	448.39	87.12	414.8	12.16	23.72	11.69	7.21	121.33	264.71	35.71	85.65	189.12	29.31	43.07	7.15	44.1	39	140.43	255.84	26.14	7.37	17.95	27.31	13.58	643.15	50.21	46.62	39.45	33.92	175.56	643.44	34.39	20.87	42.35	105.54	71.01	681.54	114.91	54.96	161.07	237.78	1317.79	46.13	39.51	78.69	57.43	402.17	38.15
gene491	828.3	1201.12	1868.29	728.14	267.36	2024.89	1335.08	632.69	1221.8	1415.08	487.54	1588.65	2117.86	1133.57	931.45	1550.97	1873.24	1657.91	1150.27	1076.41	1023.82	680.68	1542.71	1027.25	647.08	2165.13	1335.52	797.17	2487.45	1687.61	1077.66	999.33	944.43	1858.84	1051.49	1203.75	888.08	1299.4	983.53	2287.96	1801.19	933.67	753.01	1571.38	2760.63	1590.59	1822.29	4356.49	1645.58	1232.12	751.68	1014.74	654.79	1397.81	1023.6	700.14	2063.88	1219.61	2096.63	1227.36	953.7	972.78	1825.66	1270.04	1186.81	1466.47	943.64	1100.34	619.09	2548.99	1101.5	1982.23	1410.34	4015.12	1410.79	747.09	649.75	921.18	1671.48	1122.08	1543.71	754.03	1250.77	683.89	1978.74	19.44	996.62	1904.66	1076.48	1821.44	1778.81	1953.12	1926.97	1043.78	1191.17	1168.74
gene492	103.84	0	29.98	49.7	0	3.67	52.77	0	75.26	211.67	0	86.62	150.45	13.04	64.85	6.59	186.99	29.37	48.04	2.75	60.08	19.84	144.7	39.42	194.48	26.43	39.51	53.39	167.97	29.77	1.74	2.86	0	9.3	178.41	0	27.04	0.99	0	347.02	45.55	0	2.29	160.34	0	2.58	158.08	396.04	87.9	70.78	236.81	0	566.62	13.42	120.88	0	260.13	6.05	2.09	10.25	247	23.69	92.29	122.8	0	117.57	91.4	36.02	276.26	0	12.19	0	239.4	0	32.51	0	205.99	34.23	44.77	4.45	250.91	0	82.03	7.92	83.67	0	1.5	8.96	18.3	0	11.05	0.54	569.3	0	36.32	31.99
gene493	14.49	190.12	91.76	47.53	63.77	118.69	50.13	15.15	139.1	0	188.95	237.84	0	53.17	0	181.81	1.21	0	0	85.15	435.56	89.18	117.99	0	355.34	179.69	106.68	25.48	73.91	48.57	515.29	0	0	314.36	36.64	0	68.63	58.17	70.03	0	616.16	32.63	38.15	0	365.92	0	375.8	0	0	3.7	84.32	42.38	0	124.58	148.18	241.46	157.94	0	281.39	28.89	161.27	0	1.68	0	0	2.14	0	125.1	0	74.06	52.84	350.05	0	12.97	109.65	147.25	0	215.91	0	139.45	139.02	134.3	18.62	28.07	0	19.44	69.06	96.26	0	38.99	6.32	406.21	330.61	37.91	0	315.62
gene494	72.45	22.58	198.41	28.97	110.7	43.67	435.83	45.09	271.71	30.99	22.81	115.43	32.02	25.75	291.56	17.6	121.86	22.03	11.58	56.28	10.04	386.98	217.56	22.89	123.62	520.04	208.22	400.22	14.89	191.75	31.39	80.64	367.73	6.98	514.59	281.79	99.81	0.7	53.06	145.95	17.4	261.53	148.77	3.19	1.87	4.95	5.73	2.58	46.26	498.88	163.88	92.82	258.59	16.77	162.98	133.89	264.22	83.17	220.21	7.49	38.92	273.19	187.92	442.19	9.33	21.38	269.4	247.21	34.09	24.84	179.43	131.24	647.67	101.84	109.2	440.33	32.85	40.63	178.07	154.47	2.11	6.95	230.72	90.03	219.73	0	173.18	170.43	253.99	551.06	7.78	1.74	3.02	287.55	33.41	79.64
gene495	77.28	227.38	111.04	211.74	2.55	133.32	274.4	50.51	23.83	73.73	62.98	101.3	86.58	180.58	195.69	19.77	269.46	11.01	106.36	71.42	80.05	79.38	148.04	0	0	0	0	177.15	1.34	0	250.7	141.84	26.69	0	57.34	107.48	89.43	132.25	15.91	12.06	175.18	118.39	84.68	12.33	0	469.12	202.14	0	113.76	22.2	86.11	8.92	130.52	23	87.74	283.6	25.55	86.15	4.18	227.42	24.01	213.19	1.68	4.85	48.4	12.83	108.1	57.25	84.73	145.32	44.71	0	129.94	0	0.81	5.85	33.58	100.17	4.97	81.55	45.14	60.65	60.56	254.08	112.95	0	1.5	241.89	120.25	7.66	3.16	304.7	167.82	81.81	384.95	104.48
